nombre,mes,ffmc,dmc,dc,isi,bui,fwi
Santa Lucía Utatlán,2,82.40152136490279,6.759846763623202,17.317434140847194,1.904298165697968,6.842389069070438,1.5488587558752167
San José Chacayá,2,83.06347112885169,6.766860913166603,17.341270372694044,2.0415919052263383,6.850634417660176,1.710310204395056
Santa Cruz La Laguna,2,83.06347112885169,6.766860913166602,17.341270372694044,2.0415919052263383,6.850634417660175,1.710310204395056
San Marcos La Laguna,2,83.00806476626124,6.796286690374925,17.4702712570722,2.005562863203062,6.890823090666784,1.6331163510994264
Santa Catarina Ixtahuacán,2,78.29283308466994,6.854043584390597,17.701488677120167,1.153538319859239,6.9653277134424,0.6097989671843266
San Pablo La Laguna,2,82.99202608235348,6.804804678514176,17.50761361833956,1.995133403670008,6.9024566539055385,1.610770761987533
Santa Clara La Laguna,2,79.8499809192551,6.810395297409424,17.52195033400056,1.332162018585294,6.908102300924901,0.7148464092220699
Santa María Visitación,2,79.71048855031745,6.883624787343432,17.81950393496005,1.2796285943733092,7.003577959403021,0.6789440269467484
San Juan La Laguna,2,80.38398058720173,6.9205322185957785,17.934468916601045,1.3882309261062489,7.044879746399203,0.7861480157009866
San Pedro La Laguna,2,82.3553487660219,7.007779816840785,18.19514878042698,1.7157934092658669,7.14035385656417,1.111192003876701
Santiago Atitlán,2,82.62854579971012,7.096958731767998,18.433364217403167,1.7280620778082476,7.2325045270955615,1.1629917542262478
San Lucas Tolimán,2,83.6924252108711,7.094722551273953,18.38151869705701,1.9779792418444893,7.221358219231339,1.6969321346982242
San Andrés Semetabaj,3,76.88579181026577,7.029870572054446,17.634877486419686,1.078099045953485,7.041881307628389,0.5735567646895592
Sololá,3,73.54007316094902,6.973186038694425,17.4933231193176,0.8854097174899545,6.985230727768826,0.4691649475149221
Concepción,3,73.58352186815901,6.979588696586521,17.517555236478668,0.8956150742540467,6.993276727976654,0.4749182660263181
Panajachel,3,72.56631813938176,6.971360435088947,17.505478992216055,0.8344740683990106,6.986742003142002,0.442228734012424
Santa Catarina Palopó,3,72.11280657301813,7.029018283059463,17.796476157034604,0.8138644537440022,7.073443178325069,0.4339649780735728
San Antonio Palopó,3,75.3115392860042,7.1091531098197445,17.93621102269682,0.941416528504633,7.141624643840912,0.5042333523990101
Nahualá,3,62.21062581272338,6.941269670709186,17.726686872930458,0.5335452704785091,7.01458703294159,0.2826454932926197
Santa Lucía Utatlán,3,70.70644303603986,6.951287861548653,17.476073304035452,0.7879284434080502,6.970788157192287,0.4171938534124065
San José Chacayá,3,72.56631813938176,6.971360435088947,17.505478992216055,0.8344740683990106,6.986742003142002,0.442228734012424
Santa Cruz La Laguna,3,72.56631813938176,6.971360435088947,17.505478992216055,0.8344740683990106,6.986742003142002,0.442228734012424
San Marcos La Laguna,3,72.0772609331162,6.992289663518842,17.628962458157876,0.8124558732385267,7.021742051255423,0.4315713211585278
Santa Catarina Ixtahuacán,3,59.7539559462449,6.96146338262654,17.818786589359217,0.4550120316468721,7.043280001840542,0.2418707146934517
San Pablo La Laguna,3,71.9356917418288,6.998348124380128,17.66470767198314,0.8060821851657552,7.03187364413036,0.4284862805955577
Santa Clara La Laguna,3,62.93523120855295,6.939386607039552,17.649381618198408,0.5584621104660568,6.998957479839851,0.2961097647723917
Santa María Visitación,3,61.90413314855865,7.000439160609714,17.939507836812112,0.5200216553047029,7.087025421152675,0.2775614349909089
San Juan La Laguna,3,63.48726268484597,7.047843690686166,18.05710940612024,0.5565833606550268,7.134262158066663,0.2981696770983854
San Pedro La Laguna,3,68.2972051023806,7.167801367776665,18.327116637763105,0.6712480840546601,7.248382278499211,0.3620348025786027
Santiago Atitlán,3,68.29914680655644,7.253942151673858,18.559335013443302,0.6548614847324663,7.337837180870717,0.3555908249413617
San Lucas Tolimán,3,71.3079892568833,7.253681160043489,18.509053838562256,0.722160922655858,7.327865989760229,0.3920060468666977
San Andrés Semetabaj,4,58.41218365750194,7.311937377827401,18.984604106359782,0.4343356797211214,7.450161861890534,0.2378152129990573
Sololá,4,55.93722935872661,7.243630366093269,18.84382205583422,0.3562870272893818,7.387523402364209,0.1943510353270047
Concepción,4,55.37198348149416,7.233942642919078,18.86215858142123,0.3401596557282331,7.386099097136627,0.1855103086992686
Panajachel,4,54.22279881400506,7.212825366447725,18.8462150630951,0.3040323047075774,7.372060935286764,0.1655742551998449
Santa Catarina Palopó,4,52.55414803897549,7.252224109491158,19.12662569367546,0.2558887707548858,7.445997598926072,0.1400237368686723
San Antonio Palopó,4,54.55892741799767,7.336442007309761,19.25883918362108,0.3121040765919298,7.515431805065832,0.1715206172223655
Nahualá,4,45.72465564625066,7.113673081384158,19.047937747307238,0.1704261378021508,7.355946946719043,0.092826288715601
Santa Lucía Utatlán,4,52.690932784575736,7.177459718151089,18.81367232075832,0.2710159163390368,7.347168272970706,0.1475576713821212
San José Chacayá,4,54.22279881400506,7.212825366447725,18.8462150630951,0.3040323047075774,7.372060935286764,0.1655742551998449
Santa Cruz La Laguna,4,54.22279881400506,7.212825366447725,18.8462150630951,0.3040323047075774,7.372060935286764,0.1655742551998449
San Marcos La Laguna,4,53.26313152913744,7.224830215723077,18.96525782258171,0.2763845676502802,7.400962647015419,0.1507436862100826
Santa Catarina Ixtahuacán,4,42.07687137737697,7.068162840644438,19.11710518552469,0.0689598830516013,7.345691002970017,0.0374465426538103
San Pablo La Laguna,4,52.98533310457049,7.2283053036712035,18.999717568748885,0.2683812753442205,7.409328931989504,0.1464506267656778
Santa Clara La Laguna,4,44.72126754204301,7.071916087865234,18.958504259125075,0.0916919134708464,7.318602287285891,0.0497065047089627
Santa María Visitación,4,43.21414887875829,7.1172599937475205,19.23954813523672,0.0685246559063253,7.395227926187045,0.0373716040403955
San Juan La Laguna,4,44.464225185006335,7.184588710854433,19.35849197073065,0.0889400604905993,7.453454313919716,0.0487795270178755
San Pedro La Laguna,4,48.398370929743336,7.364802432507423,19.63462485538086,0.1533054063763527,7.60144169994519,0.0846007277895661
Santiago Atitlán,4,47.93214262172944,7.4547557043631905,19.85847048380878,0.1396779572578015,7.691282702842201,0.0776414998480241
San Lucas Tolimán,4,49.22496709300068,7.450209233071535,19.806734122901133,0.1629531453482059,7.679174808380179,0.0905693312663904
San Andrés Semetabaj,5,38.08549693692232,6.940516180911486,20.41940424851002,0.028698482827472,7.504165001261187,0.0157754896431895
Sololá,5,36.99976402598148,6.903351853305926,20.287638651777957,0.0244199637850706,7.460131771325871,0.0134027034982794
Concepción,5,36.45705273546501,6.887554620884401,20.305594057833243,0.0200960999468879,7.454083619945552,0.0110148066000723
Panajachel,5,35.727816362518226,6.8687135832056585,20.290542194120352,0.0162359503051873,7.440537579721067,0.0088840110034243
Santa Catarina Palopó,5,33.82393540712656,6.87436784431257,20.5618125714245,0.0110673642833855,7.489018259988306,0.006072339676441
San Antonio Palopó,5,34.63387807514665,6.904621218518387,20.67456165302561,0.0135215870718603,7.525631761321635,0.007436810582904
Nahualá,5,30.524671327059767,6.792987474430264,20.49922094102901,0.0135356674318794,7.428141592820864,0.0074264708508814
Santa Lucía Utatlán,5,34.93089516768487,6.847272501255215,20.262712032525044,0.0157079743375883,7.423136973211892,0.0086014484183663
San José Chacayá,5,35.727816362518226,6.8687135832056585,20.290542194120352,0.0162359503051873,7.440537579721067,0.0088840110034243
Santa Cruz La Laguna,5,35.727816362518226,6.8687135832056585,20.290542194120352,0.0162359503051873,7.440537579721067,0.0088840110034243
San Marcos La Laguna,5,34.76990311406769,6.868788168415115,20.40666647407427,0.0136376162717716,7.459891503856607,0.0074674639379938
Santa Catarina Ixtahuacán,5,27.77193433438729,6.731305031489812,20.567218952565003,0.0031626710701648,7.403596279477691,0.0017250267939746
San Pablo La Laguna,5,34.492612436884635,6.868809758870484,20.440281397218826,0.0128854669463092,7.465493955580053,0.007057410840106
Santa Clara La Laguna,5,29.66754585666008,6.749832270896733,20.41415015538702,0.003832126613248,7.390303203189076,0.0020876012769612
Santa María Visitación,5,28.072735702076347,6.758740123564951,20.68493023445494,0.0021890580554073,7.43996360503793,0.0011974505323471
San Juan La Laguna,5,28.473039866253025,6.793372457299727,20.79246367534516,0.0026590644826214,7.47829249600205,0.0014593851536474
San Pedro La Laguna,5,29.9891623707288,6.890002116340563,21.03894857747245,0.0043768280957257,7.576487138102164,0.002411432463298
Santiago Atitlán,5,29.12474127609632,6.921750645325348,21.242946488994548,0.0032058444812526,7.628842914822213,0.0017732061044588
San Lucas Tolimán,5,29.893736194463177,6.920174445893683,21.191382630094672,0.0037006322796479,7.619645399883656,0.0020481847236608
San Andrés Semetabaj,6,29.596902866026586,6.626183991146175,21.293840963248066,0.0036983820917244,7.453713281332361,0.002025160747998
Sololá,6,29.583625347420984,6.600972476077446,21.166997127215343,0.0036834415680124,7.418340385662556,0.0020126859289265
Concepción,6,29.36134922101523,6.599461812837199,21.188662100568735,0.0033948900245902,7.4207311579466415,0.001855316960871
Panajachel,6,29.14346776070717,6.592159060321713,21.17688966560365,0.0031650343425671,7.414311280872086,0.0017287136560588
Santa Catarina Palopó,6,27.765454130024963,6.618143468501171,21.449897464152752,0.0021774400378554,7.472366617123042,0.001193122452545
San Antonio Palopó,6,27.550640896612432,6.634574334135187,21.55684513548918,0.0020781905869524,7.499019817318895,0.0011408098145886
Nahualá,6,26.47123528281604,6.577890358637653,21.398253916151063,0.0021684815750504,7.438212206403886,0.0011833502134767
Santa Lucía Utatlán,6,28.86771871434608,6.583055764174525,21.15269003134808,0.003006583727821,7.404833422720221,0.0016416117320192
San José Chacayá,6,29.14346776070717,6.592159060321713,21.17688966560365,0.0031650343425671,7.414311280872086,0.0017287136560588
Santa Cruz La Laguna,6,29.14346776070717,6.592159060321713,21.17688966560365,0.0031650343425671,7.414311280872086,0.0017287136560588
San Marcos La Laguna,6,28.51378848541093,6.602586393469034,21.29422104116168,0.0027212078415686,7.438785734764115,0.0014877878871318
Santa Catarina Ixtahuacán,6,25.411293220089608,6.569648404096195,21.480398125198786,0.0011805304073425,7.44558219961422,0.0006443177451215146
San Pablo La Laguna,6,28.33151290571992,6.60560483201168,21.328185386717955,0.0025927317491743,7.445870445101281,0.0014180462171793
Santa Clara La Laguna,6,26.531494452285752,6.567117592424739,21.32427451094804,0.0014959380538277,7.420712863478967,0.0008164460022683551
Santa María Visitación,6,25.391653519900967,6.592553082942969,21.596274880757417,0.0009799162479701858,7.4781009685851485,0.0005374576329629219
San Juan La Laguna,6,25.276788376933972,6.609609890661688,21.69713059901377,0.000965430955975448,7.504131216624043,0.0005303109252403639
San Pedro La Laguna,6,25.21482903919443,6.652960071871568,21.924502301603457,0.001034679291509,7.565892928599421,0.0005698408369347945
Santiago Atitlán,6,24.34442202199628,6.676585880188594,22.12256128419,0.0007365405374949928,7.610694332679954,0.0004069659656985441
San Lucas Tolimán,6,24.393915810113008,6.6731661156219095,22.07104769383135,0.000712315625694056,7.600914520693021,0.00039374752818494127
San Andrés Semetabaj,7,45.629203962791046,6.817403731242233,21.598592065270843,0.1171994353997248,7.621015100977659,0.0648992109733428
Sololá,7,46.16571724521317,6.776739302876017,21.461454736826223,0.1235179560283439,7.574274524152547,0.0682077941264914
Concepción,7,46.20115143827812,6.791928040169682,21.48970404467717,0.12465025656266,7.588163530747611,0.0689014565980158
Panajachel,7,46.0710675939801,6.7876522416669145,21.479390158253334,0.1219652191215874,7.583887643334534,0.0673958874743925
Santa Catarina Palopó,7,42.97598112539461,6.838539536623555,21.77980867153819,0.0769749662856927,7.662352403727911,0.042705334925719
San Antonio Palopó,7,41.3800874378355,6.846113798120019,21.891353073786902,0.0619413453849976,7.684218771336956,0.0344275240762287
Nahualá,7,40.706295518097086,6.773812169366044,21.722426635380693,0.0665653539415176,7.612291451257509,0.0366675645656866
Santa Lucía Utatlán,7,45.85053991300115,6.780931773492907,21.45532836815228,0.1173725029774715,7.575940470708527,0.0648250050736891
San José Chacayá,7,46.0710675939801,6.7876522416669145,21.479390158253334,0.1219652191215874,7.583887643334534,0.0673958874743925
Santa Cruz La Laguna,7,46.0710675939801,6.7876522416669145,21.479390158253334,0.1219652191215874,7.583887643334534,0.0673958874743925
San Marcos La Laguna,7,44.73251202287389,6.809211446550971,21.60874575751169,0.1027364812678201,7.617449902087279,0.056839319591545
Santa Catarina Ixtahuacán,7,40.4972827713219,6.815224880688851,21.82668659659747,0.0567644456843193,7.654419207632861,0.0313865751049576
San Pablo La Laguna,7,44.34503541018525,6.815452269017408,21.646190799402262,0.0971702676785717,7.627165292778865,0.0537834709938786
Santa Clara La Laguna,7,42.88491541704255,6.813806695894919,21.65773544992344,0.0749166071320358,7.627888768205325,0.0414419280654744
Santa María Visitación,7,40.36839506028918,6.86106723410603,21.954394743296785,0.0442798360523414,7.703487637647577,0.0246573151084628
San Juan La Laguna,7,39.37225964460082,6.863558967896783,22.05802773563521,0.0390150850579917,7.720790044644805,0.0217443598677787
San Pedro La Laguna,7,37.1295097499437,6.862391912928539,22.28826321044309,0.0302351106708562,7.754871683450092,0.0168599900550981
Santiago Atitlán,7,34.35556425431193,6.860559061582423,22.494102047412213,0.0161225219652965,7.784804697581734,0.0090059235485341
San Lucas Tolimán,7,33.70902840762843,6.850141353835319,22.43704737673665,0.0119527418601978,7.769708177614717,0.0066805539776075
San Andrés Semetabaj,8,38.97370115079418,6.6294300197546345,20.90138632876937,0.0351185689113063,7.395006578702971,0.0191500260893167
Sololá,8,38.7647907710073,6.5914430212936415,20.76567947751403,0.0328296852575763,7.350162756789461,0.0178504084057259
Concepción,8,38.74421350751984,6.6011285820294034,20.792426586645966,0.0327837566700765,7.360372475132623,0.017841247948227
Panajachel,8,38.45704697718145,6.594848222068964,20.780968903572337,0.0306993795927024,7.354674619331046,0.016698518200073
Santa Catarina Palopó,8,36.2112416882464,6.630551512904325,21.069648908342643,0.0198910305825603,7.42188492716255,0.0108580417865503
San Antonio Palopó,8,35.66234647197312,6.644031926527751,21.178704874186085,0.0186134824130627,7.447120371988056,0.0101810359034379
Nahualá,8,33.68388753601535,6.568298610968889,21.009322471873286,0.0161303446881758,7.372848456657262,0.0087484020118519
Santa Lucía Utatlán,8,37.99495514706766,6.586095684379759,20.756171457924356,0.0283414540834322,7.345349013044344,0.0154082479764627
San José Chacayá,8,38.45704697718145,6.594848222068964,20.780968903572337,0.0306993795927024,7.354674619331046,0.016698518200073
Santa Cruz La Laguna,8,38.45704697718145,6.594848222068964,20.780968903572337,0.0306993795927024,7.354674619331046,0.016698518200073
San Marcos La Laguna,8,37.43160184316748,6.609188519200045,20.905048311154424,0.0258486005674539,7.382928975079206,0.0140746503682561
Santa Catarina Ixtahuacán,8,32.76518107943465,6.586351889371869,21.105255043628198,0.010290244794641,7.399070974713136,0.0055940650811079
San Pablo La Laguna,8,37.13476246226869,6.613339657843252,20.940966034401864,0.0244444276917241,7.391107867532621,0.0133151096800986
Santa Clara La Laguna,8,34.68133406645235,6.590266678808487,20.94388343281649,0.0139606313795801,7.37706931077801,0.0075936236423817
Santa María Visitación,8,32.906611237363784,6.62147978447392,21.22956708485594,0.0084438921456259,7.440904740124433,0.0046189927138986
San Juan La Laguna,8,32.4646412841381,6.628248779605979,21.331031674974323,0.0079679433923243,7.460590139517095,0.0043632567167216
San Pedro La Laguna,8,31.636198846771705,6.642226677035811,21.55753377163494,0.0077795471040679,7.503693326325184,0.004265888637336
Santiago Atitlán,8,29.75175181884179,6.6442628916341615,21.75639772451147,0.0044902141037621,7.535109181611389,0.0024670392877997
San Lucas Tolimán,8,29.58296805301124,6.639863444199658,21.700541055885125,0.0037992949171398,7.52404499366704,0.0020888310541472
San Andrés Semetabaj,9,29.43293450076599,6.403955423716589,19.558579873217965,0.003448201171454,7.042848464872785,0.0018342987372705
Sololá,9,29.51371121927734,6.383590682581755,19.433139077870525,0.0034999878827624,7.0102118234322415,0.0018578501986673
Concepción,9,29.33594541958698,6.386448090628468,19.45633567438329,0.0032893983737275,7.0157121302622825,0.0017469705470579
