nombre,year,ndvi,evi2,nirv
Patanatic - Pamuch,2015,0.6909432458321966,0.3465831412816683,0.1582886493934916
San Francisco,2015,0.6867230913602428,0.3850600035221689,0.1831667999902318
Tzalá,2015,0.6550914015538863,0.3463533954537365,0.1585302993728013
Panajachel,2015,0.5857497729836818,0.3331877159229446,0.1550066964347873
Tolimán,2016,0.7571564277314983,0.4252797004258253,0.2062970923484271
Jaibalito,2016,0.6491627017700967,0.3869496447817058,0.1846299029277491
La Catarata,2016,0.5466238960145526,0.2982068818816232,0.1336181323659898
Palopó,2016,0.6542395113872749,0.307374439520162,0.1371409851222009
San Buenaventura,2016,0.6178431834580899,0.3345557321210257,0.15297169566192
San Juan La Laguna,2016,0.7512834227510636,0.4165647445963628,0.2015116290594629
San Marcos La Laguna,2016,0.7440361897046565,0.426110517212097,0.2068232370392263
San Pablo La Laguna,2016,0.7465056174898738,0.4440051441673737,0.2187018674692531
San Pedro La Laguna,2016,0.7486154384413383,0.369997686230643,0.1722254038355497
Nimayá - Xepec,2016,0.6499857122198838,0.3044986969313371,0.1343093507100491
Santa Cruz La Laguna,2016,0.6608988299959663,0.3654819415270222,0.1716966473343988
Santiago Atitlán,2016,0.7324186594703709,0.3545525772633693,0.1637867533864724
Cerro De Oro,2016,0.754637493630472,0.3727837302881452,0.1727307883873214
San Antonio Chacayá,2016,0.8003761683022398,0.4757200698994402,0.2384692273952527
Chukumuk,2016,0.7095580595436445,0.3594442662996339,0.1648898008912253
Panabaj,2016,0.8046456602394444,0.4246540666940718,0.2047138971953078
Cerro Chuitinamit,2016,0.7224452830242428,0.404304698536009,0.1935177583423216
Tzununá,2016,0.7086659182820847,0.4094040544428567,0.1968464502316677
Barreneché - María Tecún,2016,0.6999927731944999,0.3617332632290264,0.1680144108366368
Argueta,2016,0.6980893787198814,0.3533329452537728,0.1626545241780284
Chaquijyá,2016,0.6306075140538486,0.3517306420782025,0.1636927691168468
Xibalbay,2016,0.6221621810437747,0.3395016400601616,0.1562219053137763
Parracaná,2016,0.6646874878465558,0.3481314627419332,0.1604968569187599
El Novillero,2016,0.6110464676714477,0.3120689148250211,0.1401212347029667
Chuiescalera,2016,0.6902795540025862,0.3756653977766101,0.1764306288718576
Pamachá,2016,0.6272196945980119,0.3186893426279753,0.1438515118556516
Río Quiscab,2016,0.6525067671579773,0.3583590560920682,0.1679749139588117
Pujujil,2016,0.6929543020081638,0.3644390545385568,0.1689358130721535
Pujujilito,2016,0.7224560325238715,0.3751036781799948,0.1752317997524811
Xajaxak,2016,0.6276219807841144,0.3331037821332145,0.1518257160618055
Patzutzún,2016,0.6866901240855302,0.3481697310491251,0.159877907252763
Concepción,2016,0.6405842950303361,0.3535403262258331,0.1643795666844323
Panasacar,2016,0.7110611052596694,0.3526521745102295,0.1620932440211601
Patanatic - Pamuch,2016,0.6613729556893887,0.3193742660434989,0.1422931869739915
San Francisco,2016,0.6617058763560674,0.355313340509337,0.165082626412393
Tzalá,2016,0.6153067919343259,0.3112722527304332,0.1385567226240744
Panajachel,2016,0.5567669360349227,0.3033092067255047,0.1372489211301646
Tolimán,2017,0.7453596700046485,0.4051119721230835,0.1934586620727331
Jaibalito,2017,0.6715212010171273,0.403451402280176,0.1943476213964695
La Catarata,2017,0.5338344051406905,0.2894153425448096,0.1277488099028113
Palopó,2017,0.6506662546605341,0.308785644104023,0.1383083698650668
San Buenaventura,2017,0.585841723844657,0.3134076519278335,0.1404576958373145
San Juan La Laguna,2017,0.7407166876434552,0.4046558865478957,0.1943971693282563
San Marcos La Laguna,2017,0.7367914631400522,0.41881950279354,0.2019992174627086
San Pablo La Laguna,2017,0.737310931691505,0.4344826783132789,0.212952576332629
San Pedro La Laguna,2017,0.754539234285884,0.367244686378566,0.1711572139916987
Nimayá - Xepec,2017,0.6391549742162974,0.3026967471711747,0.1338081874471823
Santa Cruz La Laguna,2017,0.6529291343919007,0.3610386847686348,0.1691640362314116
Santiago Atitlán,2017,0.6971368141508254,0.3096110818040093,0.1378927605817312
Cerro De Oro,2017,0.7389880633921341,0.3535296738991145,0.1614897841008767
San Antonio Chacayá,2017,0.7784662424370136,0.4447867136539554,0.2183733810996248
Chukumuk,2017,0.684601787969103,0.3300305386923287,0.1481369368771745
Panabaj,2017,0.7786325097152327,0.383096871731138,0.1793940631718603
Cerro Chuitinamit,2017,0.7459319802967534,0.414338201914908,0.1993631606914214
Tzununá,2017,0.7207399041049859,0.4181043456806304,0.2017472679678713
Barreneché - María Tecún,2017,0.6989199435084827,0.3554985324530503,0.1640546069124227
Argueta,2017,0.6960809736728163,0.3403607696897027,0.1551529978850614
Chaquijyá,2017,0.6265548250934716,0.341626486898278,0.1572491336745286
Xibalbay,2017,0.6278820404075628,0.3307451853753233,0.1507921302802382
Parracaná,2017,0.6490350334546424,0.3267133367626035,0.1477214917616505
El Novillero,2017,0.6100873708999204,0.3021485683934807,0.1339738705266243
Chuiescalera,2017,0.6795502151051831,0.3611281009596784,0.1672162434922133
Pamachá,2017,0.6037208526073325,0.2938354414580518,0.1296145308551551
Río Quiscab,2017,0.6324799859840464,0.3409120282709453,0.1573444934233685
Pujujil,2017,0.7022273940846081,0.3637155650551594,0.1686631144538522
Pujujilito,2017,0.712114829856424,0.3551312889184905,0.1632760127243583
Xajaxak,2017,0.619263194128677,0.320530007624297,0.1443660917459635
Patzutzún,2017,0.6707606626310517,0.339642829084839,0.1546759767428828
Concepción,2017,0.6166913872421096,0.3386186704787339,0.1558616602070425
Panasacar,2017,0.6681343802670541,0.327803939178904,0.1482783636405402
Patanatic - Pamuch,2017,0.6001241176310116,0.2841619406192024,0.1235843233108108
San Francisco,2017,0.5946793578720517,0.3121629587775855,0.1402332787263893
Tzalá,2017,0.5750766608745793,0.2894727075416604,0.1269421870970513
Panajachel,2017,0.5205394406671446,0.287765431540997,0.1289267098928021
Tolimán,2018,0.753713418149898,0.4394436909511306,0.215747523611271
Jaibalito,2018,0.7198755660729924,0.4466141784774711,0.2214228066786571
La Catarata,2018,0.5989573815541844,0.3369666509656572,0.1554443879396238
Palopó,2018,0.6669073127740096,0.3346763298448153,0.1532287075112859
San Buenaventura,2018,0.648931332859629,0.3667795372868626,0.1718018487829556
San Juan La Laguna,2018,0.7762209067058666,0.4363069210057334,0.2132318053225751
San Marcos La Laguna,2018,0.795908719105073,0.4745373820771403,0.2380494571898621
San Pablo La Laguna,2018,0.782878629627068,0.4737806188994723,0.2380389909789152
San Pedro La Laguna,2018,0.7649010757034882,0.3885879502544864,0.1832966511356324
Nimayá - Xepec,2018,0.6772183558847259,0.3386185415219652,0.1538798573559137
Santa Cruz La Laguna,2018,0.7303900664330929,0.4307778717082426,0.2120675182616092
Santiago Atitlán,2018,0.7304784995606475,0.3580908627045171,0.1663814627710763
Cerro De Oro,2018,0.7643146661760549,0.3982154592758018,0.1881244666520846
San Antonio Chacayá,2018,0.803497307676011,0.476832930944947,0.2386167606973707
Chukumuk,2018,0.7284344376594335,0.3800062615320266,0.1775224961324965
Panabaj,2018,0.7971082223786663,0.4177835754297038,0.2004405336091243
Cerro Chuitinamit,2018,0.7331901565643228,0.4050706425776544,0.1934567392678375
Tzununá,2018,0.7658364880938598,0.4641689267485721,0.2316188827934381
Barreneché - María Tecún,2018,0.750507244550213,0.3961629196326661,0.1878516991451269
Argueta,2018,0.7461788645046814,0.3788974321845681,0.1770069976078466
Chaquijyá,2018,0.698538144132086,0.3998248302497648,0.1915545760791012
Xibalbay,2018,0.6763507355886648,0.3663799599130714,0.1716516076105178
Parracaná,2018,0.7151027289765007,0.375325251818112,0.1753564910167152
El Novillero,2018,0.6833563301156066,0.3494879690875459,0.1605993464436262
Chuiescalera,2018,0.7396854168535779,0.40855364094733,0.1955656839842554
Pamachá,2018,0.6904071263807143,0.3516790895175758,0.1616757239920238
Río Quiscab,2018,0.6912782630403348,0.3931111037459162,0.1889724147427625
Pujujil,2018,0.7564807818304508,0.4087194350457984,0.1957523611768921
Pujujilito,2018,0.7668757426731985,0.4095212831678301,0.1961250796874008
