nombre,mes,ffmc,dmc,dc,isi,bui,fwi
Chaquijyá,2,83.06347112885169,6.766860913166603,17.341270372694044,2.0415919052263383,6.850634417660176,1.710310204395056
Xibalbay,2,83.06347112885169,6.766860913166603,17.341270372694044,2.0415919052263383,6.850634417660176,1.710310204395056
Parracaná,2,83.81909789540283,6.737244920933787,17.2676105438594,2.260122370471132,6.821087697591485,2.4722645148135456
El Novillero,2,83.35559077636144,6.757943336602207,17.31962884648631,2.1230041143110374,6.841842704099651,1.9758056079160515
Chuiescalera,2,83.06347112885169,6.766860913166603,17.341270372694044,2.0415919052263383,6.850634417660176,1.710310204395056
Pamachá,2,82.58714040082788,6.763814320948004,17.329474310537584,1.9393288719047468,6.846771397457715,1.5617808522474173
Río Quiscab,2,83.06347112885169,6.766860913166603,17.341270372694044,2.0415919052263383,6.850634417660176,1.710310204395056
Pujujil,2,83.06347112885169,6.766860913166603,17.341270372694044,2.0415919052263383,6.850634417660176,1.710310204395056
Pujujilito,2,84.17657890224946,6.770623597984696,17.366235928308704,2.410001617981443,6.857430498527145,3.1068571089846637
Xajaxak,2,83.06347112885169,6.766860913166603,17.341270372694044,2.0415919052263383,6.850634417660176,1.710310204395056
Patzutzún,2,84.32616650816061,6.771129255232975,17.369590983213435,2.4595112236481365,6.858343805837331,3.2945353491271403
Concepción,2,83.06347112885169,6.766860913166603,17.341270372694044,2.0415919052263383,6.850634417660176,1.710310204395056
Panasacar,2,84.35753782193227,6.7712353009986,17.370294600866092,2.469894312304579,6.858535343431794,3.3338949800521607
Patanatic - Pamuch,2,84.33905115488827,6.771172809743859,17.369879969035065,2.463775706489176,6.858422473063627,3.310700911828488
San Francisco,2,83.06347112885169,6.766860913166603,17.341270372694044,2.0415919052263383,6.850634417660176,1.710310204395056
Tzalá,2,83.85716536727445,6.769543871036895,17.359071899306233,2.304284048234326,6.855480318800101,2.70610886679808
Panajachel,2,83.06347112885169,6.766860913166603,17.341270372694044,2.0415919052263383,6.850634417660176,1.710310204395056
Tolimán,3,71.02714027141398,7.196349756907725,18.33924657369233,0.7263093310180753,7.265355708647021,0.3925500598589037
Jaibalito,3,72.56631813938176,6.971360435088947,17.505478992216055,0.8344740683990106,6.986742003142002,0.442228734012424
La Catarata,3,72.56631813938176,6.971360435088947,17.505478992216055,0.8344740683990106,6.986742003142002,0.442228734012424
Palopó,3,74.98535417184958,7.103172041696302,17.923119729870002,0.9346399476322828,7.136002230670784,0.500360973294619
San Buenaventura,3,72.56631813938176,6.971360435088947,17.505478992216055,0.8344740683990106,6.986742003142002,0.442228734012424
San Juan La Laguna,3,65.45330634020256,7.020414034872068,17.949498564418676,0.6137560345630312,7.099192312518338,0.3279288319657169
San Marcos La Laguna,3,72.13839308389939,6.9896735099651055,17.613527024915147,0.8152081476335873,7.017367045241245,0.4329034977652648
San Pablo La Laguna,3,70.55159151847306,6.995339336383246,17.69291220576931,0.7660108243125059,7.035917292405693,0.4073311351092984
San Pedro La Laguna,3,70.85461791745229,7.0446127345935805,17.937671123012425,0.7574103853373173,7.109242171538973,0.4049277890237871
Nimayá - Xepec,3,73.23167325309676,7.044885987362389,17.808118145621872,0.8639181774341761,7.08377828586207,0.4610454674487563
Santa Cruz La Laguna,3,72.56631813938176,6.971360435088947,17.505478992216055,0.8344740683990106,6.986742003142002,0.442228734012424
Santiago Atitlán,3,68.87077999891706,7.256593911512081,18.55143029296294,0.6639556855442966,7.337648370827105,0.3606628021625601
Cerro De Oro,3,70.90623484858551,7.090010906200301,18.057818407735525,0.7481052666549979,7.155949751796416,0.4012244985271177
